P_um,N,I_b_nA,fill,n_real,det_rms_nm,det_max_nm,stoch_rms_nm,stoch_max_nm,stoch_p99_nm,stoch_mean_nm
3.0,100,1.0,0.3,30,86.47581806177773,118.98882998815598,5.23313410036998,6.955819746051683,6.549843765737895,5.194615201767211
3.0,100,1.0,0.5,30,143.91911357452054,197.82480626748205,5.6462357729528705,7.162841957260592,7.027988691677185,5.604915948519278
3.0,100,1.0,0.7,30,201.50828985479927,276.89139001277545,4.931153663319439,6.56158631631485,6.081535351314589,4.895565878361192
3.0,100,5.0,0.3,30,427.14207105993074,593.3709542591736,25.313733168024193,34.063739476756474,30.350702233075452,25.178339619316233
3.0,100,5.0,0.5,30,715.2214656072092,993.3338980710331,27.228139333676364,35.05532929676739,34.1127807317828,27.062843856844168
3.0,100,5.0,0.7,30,1000.2387601248696,1388.0716689501248,25.280864540796774,32.065438313688894,31.193013404850966,25.138344653554622
3.0,100,10.0,0.3,30,864.1695524458285,1189.2340811435868,52.423537724911306,67.09640089156295,64.51997370140933,52.09224642391624
3.0,100,10.0,0.5,30,1442.7299484710718,1988.5892833547714,57.5191176267856,73.89973175260857,72.23436099105021,57.058378458592166
3.0,100,10.0,0.7,30,2020.7566663244736,2774.9566979119973,51.33006400298795,65.36035025446719,62.74066354096634,50.99468258673592
3.0,316,1.0,0.3,30,274.87567019578916,378.29503413646074,5.91452246935995,7.7818117249824885,7.175251437279877,5.880272572395882
3.0,316,1.0,0.5,30,458.3445371204055,629.8850958976931,6.517174143583813,8.042423923647686,7.990978449548892,6.4734793410441025
3.0,316,1.0,0.7,30,641.0573243176938,880.7140187643984,5.793443131470483,7.192124278020547,7.020885543491451,5.758969518778919
3.0,316,5.0,0.3,30,1364.9646842487705,1890.346594903077,29.263963819832732,38.107967467849136,36.28873100850971,29.071822459693625
3.0,316,5.0,0.5,30,2274.737024588803,3147.768038238348,32.216612532284636,43.13942547282842,39.85497973515644,32.035308687069836
3.0,316,5.0,0.7,30,3184.0665560604093,4405.150070819625,29.669300055948085,37.82984565818057,37.05733278893703,29.45080029857516
3.0,316,10.0,0.3,30,2660.6702382044523,3777.0944265210346,59.83645144476352,76.69888995475397,74.49813463075216,59.50875244029942
3.0,316,10.0,0.5,30,4429.413341547963,6294.80850081729,65.06314019348537,82.0051860848113,79.19747095511114,64.72540804543422
3.0,316,10.0,0.7,30,6205.328719959361,8811.877700193023,59.78056578297437,78.19471967998501,73.37349633118387,59.45404520172457
6.0,100,1.0,0.3,30,43.6475255420249,59.410416096907966,2.5185272304378032,3.463055732921163,3.234100214760286,2.50176358421277
6.0,100,1.0,0.5,30,72.7626499748591,99.05698608848061,2.774230720352728,3.9325599041076704,3.703901462186343,2.752765808146457
6.0,100,1.0,0.7,30,101.5713840969825,138.23228997374247,2.6087845517726955,3.6038453490431452,3.2937434299259807,2.5905873172460274
6.0,100,5.0,0.3,30,215.70323422697786,296.1887718321079,12.440597555038098,16.779969344196378,15.37006875322333,12.35392882081267
6.0,100,5.0,0.5,30,359.42203425367956,493.41869370824264,14.143744658780312,18.328666536563237,17.631205375392327,14.051311842791716
6.0,100,5.0,0.7,30,504.2459947634935,691.4329114251185,12.818306496308997,15.714696336404844,15.404554364001237,12.751175459959109
6.0,100,10.0,0.3,30,420.1793901614213,589.0679785765424,26.323673301869132,35.17019036127732,32.10792430062025,26.16872976517591
6.0,100,10.0,0.5,30,703.4814149283285,987.7996245053326,28.024584855328783,35.65946768068671,33.94015761306343,27.891267672194157
6.0,100,10.0,0.7,30,985.3089178581951,1381.2939014656808,25.796765299090726,32.68897878447172,31.578213245698596,25.632700266938077
6.0,316,1.0,0.3,30,136.74884825962278,188.73800794692374,2.8841714548841835,3.7985866422206835,3.616182348327887,2.8627458381516497
6.0,316,1.0,0.5,30,227.81802353151164,314.265185088835,3.1767282923824984,4.231504747330549,4.018030401155588,3.1557786352280552
6.0,316,1.0,0.7,30,319.12458677871604,439.997004967979,2.886670317815495,3.8727087389594086,3.5972064917911952,2.8675427051598725
6.0,316,5.0,0.3,30,670.4757738432322,946.83341465203,14.539584764579521,18.511693337329376,17.910253422155826,14.455466634206058
6.0,316,5.0,0.5,30,1116.3761074752554,1574.3396264293906,16.056390200885595,20.589049326568954,19.856884273248223,15.959627037413272
6.0,316,5.0,0.7,30,1562.3837078877202,2201.877554819085,14.535673143637576,17.968382989747177,17.773433712095777,14.459741129695486
6.0,316,10.0,0.3,30,1357.8170385240535,1888.69191717829,29.029152685653674,37.55297462475095,36.109210280517175,28.854338113722235
6.0,316,10.0,0.5,30,2261.953496762662,3146.830536801036,31.661263870862555,39.70803985536886,38.061707197420255,31.50407412624056
6.0,316,10.0,0.7,30,3168.2217640099148,4404.220148245671,28.684476830131842,36.315369446198204,34.9840925138663,28.509835780987107
9.0,100,1.0,0.3,30,28.965296086995686,39.53733794530603,1.7844496914499277,2.4356177218335193,2.2672637395909003,1.7685657199780622
9.0,100,1.0,0.5,30,48.26351277673325,65.83244814860873,1.918605031744973,2.5085627952040896,2.37934385915682,1.906883655986109
9.0,100,1.0,0.7,30,67.5915477657423,92.2017847074816,1.7267172607989705,2.3050184725085083,2.1118483820903893,1.715715191704998
9.0,100,5.0,0.3,30,143.26902650362752,197.71158317248572,8.445737327453893,10.976989950254843,10.573740907657648,8.384926100119511
9.0,100,5.0,0.5,30,239.48036025222322,329.91345025056194,9.580721058755312,12.043263943565977,11.746005059486444,9.51619220308806
9.0,100,5.0,0.7,30,335.4416983845934,462.67333398754636,8.371359374610597,10.965827421694007,10.364627813333584,8.31290710985261
9.0,100,10.0,0.3,30,287.4894486349467,395.5871567346349,17.361060607950016,21.559127818218425,21.271435355683533,17.22697510206665
9.0,100,10.0,0.5,30,480.244506552117,660.036224578511,18.9145634011453,24.548125244895356,23.772699219051926,18.770763005008785
9.0,100,10.0,0.7,30,672.6290584917352,924.522122101835,17.061982273844333,23.257632936253263,21.01549510050456,16.950331715483163
9.0,316,1.0,0.3,30,90.35102846585704,126.18645478579367,1.9681299964889982,2.554403238595869,2.4161400764611414,1.9571709641401411
9.0,316,1.0,0.5,30,150.55541778642865,209.97161663607238,2.1989001422846015,2.7791430548794285,2.7469265455417475,2.1866637225903105
9.0,316,1.0,0.7,30,210.62723349016952,293.8744724355767,2.0566518758849557,2.7024235957452416,2.6125624563042695,2.0420475811416154
9.0,316,5.0,0.3,30,455.3828207707764,630.8195286065636,9.85601997571732,12.468302886956282,11.865291765500922,9.800319844895798
9.0,316,5.0,0.5,30,758.7329726523219,1050.7081930927652,10.8408313331748,13.955884777203506,13.201541006647883,10.77524444019508
9.0,316,5.0,0.7,30,1061.8820002114114,1469.3932096462588,10.032001281626416,13.367760020641732,12.191281421658319,9.979315599558241
9.0,316,10.0,0.3,30,911.3330239357546,1259.8305272974671,20.054699469336914,27.004280263976003,25.126596145268014,19.927765699287622
9.0,316,10.0,0.5,30,1517.671802135673,2098.898919060069,21.494491993427125,28.0490166260867,26.218559864871974,21.368101722494742
9.0,316,10.0,0.7,30,2124.6472566136154,2936.992324757753,19.30383344744159,24.509201373332683,23.784873548536684,19.176653199128143
